タイトル,ステータス,URL,説明,期間,金額,セクション,選択した項目
事業再構築補助金,※現在、公募は終了しております。再公募開始をお待ちください。,https://jigyou-saikouchiku.go.jp/,"ポストコロナ・ウィズコロナの時代の経済社会の変化に対応するため、中小企業・中堅企業の思い切った事業再構築を支援します。昨年度と異なる点として、売上減少要件がない枠が新設されました。出典（https://jigyou-saikouchiku.go.jp/）",募集期間： ～2025-03-26,800万円,事業成長・改善,"ホームページ制作・ECサイト・採用サイト等（動画含み）・広告出稿を発注したい, 新規事業を立ち上げたい（または直近新規事業を開始したばかり）, ITツール・パソコン・タブレットを導入し、社内をDX化したい, システム・ＡＩ開発を発注したい, 機械設備・乗用車や内装工事を発注したい"
ものづくり補助金,公募中,http://portal.monodukuri-hojo.jp/,"中小企業・小規模事業者等の生産性向上に資する「革新的な新製品・新サービス開発」や海外需要開拓を行う事業のために必要な設備投資等に要する経費の一部を補助する制度です。※出典：ものづくり補助金総合サイト（http://portal.monodukuri-hojo.jp）",募集期間： ～2025-04-25,500万円,事業成長・改善,"ホームページ制作・ECサイト・採用サイト等（動画含み）・広告出稿を発注したい, 新規事業を立ち上げたい（または直近新規事業を開始したばかり）, ITツール・パソコン・タブレットを導入し、社内をDX化したい, システム・ＡＩ開発を発注したい, 機械設備・乗用車や内装工事を発注したい"
小規模事業者持続化補助金,※現在、公募は終了しております。再公募開始をお待ちください。,https://s23.jizokukahojokin.info/,"※現在、新しい公募が発表されておりませんが、2025年度以降も小規模事業者持続化補助金は続くことが決まっております！余裕をもって準備ができるように、ご興味のある方はぜひお問い合わせください。商工会議所の支援を受けながら実施する、地道な販路開拓等（生産性向上）のための取組や、業務効率化（生産性向上）のための取組に対し支援が受けられます。ちらし作成費用、ネット販売システムの構築など、販売促進に関する経費補助を受けられるのが特徴です。※出典：持続化補助金（小規模事業者持続的発展支援事業）（https://s23.jizokukahojokin.info/）",募集期間： ～2024-05-27,50万円,事業成長・改善,"ホームページ制作・ECサイト・採用サイト等（動画含み）・広告出稿を発注したい, ITツール・パソコン・タブレットを導入し、社内をDX化したい, 機械設備・乗用車や内装工事を発注したい"
中小企業省力化投資補助金,公募中,https://shoryokuka.smrj.go.jp/,"中小企業等の売上拡大や生産性向上を後押しするために、人手不足に悩む中小企業等に対して、省力化投資費の経費の一部を補助する制度です。簡易で即効性がある「カタログ注文型」と、オーダーメイド性のある「一般型」に分かれます。",期間情報なし,最大10000万円,事業成長・改善,"ホームページ制作・ECサイト・採用サイト等（動画含み）・広告出稿を発注したい, 新規事業を立ち上げたい（または直近新規事業を開始したばかり）, ITツール・パソコン・タブレットを導入し、社内をDX化したい, システム・ＡＩ開発を発注したい, 機械設備・乗用車や内装工事を発注したい, 業務用エアコン、照明などを入れ替えたい, 買い手もしくは売り手として、事業承継やM＆Aに取り組みたい"
省エネルギー投資促進支援事業費補助金,公募中,https://syouenehojyokin.sii.or.jp/34business/,"業務用エアコンやLED・業務用給湯器等、事前に登録・公表されている指定設備の入替を行う際に使える補助金です。目安として、大体10年以上前の設備の入れ替えが対象になります。東京都の「ゼロエミッション化に向けた省エネ設備導入・運用改善支援事業」もご支援可能です。https://www.tokyo-co2down.jp/subsidy/zeroemi-shoene",募集期間： ～2025-09-30,最大10000万円,事業成長・改善,"機械設備・乗用車や内装工事を発注したい, 業務用エアコン、照明などを入れ替えたい"
ＩＴ導入補助金,※現在、公募は終了しております。再公募開始をお待ちください。,https://it-shien.smrj.go.jp/schedule/,"※現在、新しい公募が発表されておりませんが、2025年度以降もIT導入補助金は続くことが決まっております！余裕をもって準備ができるように、ご興味のある方はぜひお問い合わせください。中小企業・小規模事業者等が業務効率化・売上アップをするためのＩＴツールを導入する場合に補助します。事前に登録されたツール・事業者から選んで導入をおこないます。今年度より条件が緩和され、活用のチャンスが大きく拡がりました。申請枠ごとに締切日が異なります。詳しくは下記HPをご確認ください。※出典：ＩＴ導入補助金（https://it-shien.smrj.go.jp/schedule/）",募集期間： ～2024-10-15,150万円,事業成長・改善,ITツール・パソコン・タブレットを導入し、社内をDX化したい
事業承継・引継ぎ補助金,公募中,https://jsh.go.jp/r6h/materials/,"事業承継・引継ぎ補助金は、事業承継を契機として新しい取り組み等を行う中小企業等及び、事業再編、事業統合に伴う経営資源の引継ぎを行う中小企業等を支援する制度です。※2025年3月時点では暫定版、4月中に確定予定です。※出典：事業承継・引継ぎ補助金サイト(https://jsh.go.jp/r6h/materials/)",期間情報なし,600万円,事業成長・改善,買い手もしくは売り手として、事業承継やM＆Aに取り組みたい
事業展開等リスキリング支援コース（人材開発支援助成金）,公募中,https://www.writeup-lab.jp/wp-content/uploads/2024/11/030711a3fbbb735a1a0b6fa1cfcd6665.pdf,"正社員が「新事業」「DX化」「CO２削減」に関する研修に参加すると貰える助成金です。※人への投資促進コース・人材育成支援コース・教育訓練休暇等付与コースと併用は基本的に不可※出典：事業展開等リスキリング支援コース（人材開発支援助成金）　（https://www.mhlw.go.jp/content/11800000/001310925.pdf）",期間情報なし,90～10000万円,従業員関連,ＡＩ開発・研修を導入して業務改善に取り組みたい
人への投資促進コース（人材開発支援助成金）,公募中,https://www.writeup-lab.jp/wp-content/uploads/2024/11/a77a8be316fb229168084a3dc687f96c.pdf,"従業員が定額制の研修サービスを受講すると貰える助成金です。対面のみならず動画研修も対象になることが特徴です。※事業展開等リスキリング支援コース・人材育成支援コース・教育訓練休暇等付与コースと併用は基本的に不可●受給額の参考例従業員1～20名、研修費用が120万円の場合　　　　　→　72万円従業員21名～100名、研修費用が180万円の場合　　　→　108万円従業員101名～、研修費用が600万円の場合　　　　　→　270万円※出典：人への投資促進コース（人材開発支援助成金）　（https://www.mhlw.go.jp/content/11800000/001238174.pdf）",期間情報なし,72～2500万円,従業員関連,外部研修を受講してもらい社員にスキルアップを促したい
教育訓練休暇等付与コース（人材開発支援助成金）,公募中,https://www.writeup-lab.jp/wp-content/uploads/2024/11/d1ef7b2a0f301dc46581b690d32e5c23.pdf,"「社員教育」に取り組む会社に向けた助成金です。雇用保険加入者が外部研修に参加するための新たな有休制度を新設し、その有休を利用して研修に参加すると３０万円/社。受講する研修は「無料」かつ「短時間」でも対象です。３年間継続的に実施する必要があるため、教育習慣を作ることが可能です。※出典：人材開発支援助成金 （教育訓練休等暇付与コース）　（https://www.mhlw.go.jp/content/11800000/001238087.pdf）",期間情報なし,30万円,従業員関連,外部研修を受講してもらい社員にスキルアップを促したい
人材育成支援コース（人材開発支援助成金）,公募中,https://www.writeup-lab.jp/wp-content/uploads/2024/11/91d960395daf6e689f10f840e101ad75.pdf,"従業員が業務に関する研修に参加すると貰える助成金です。雇用保険加入のアルバイトも対象となります。※人への投資促進コース・事業展開等リスキリング支援コース・教育訓練休暇等付与コースと併用は基本的に不可●受給額の参考例従業員1～20名、研修費用が120万円の場合　　　　　→　54万円従業員21名～100名、研修費用が180万円の場合　　　→　81万円従業員101名～、研修費用が600万円の場合　　　　　→　180万円※出典：人材育成支援コース（人材開発支援助成金）　（https://www.mhlw.go.jp/content/11800000/001238063.pdf）",期間情報なし,54～1000万円,従業員関連,外部研修を受講してもらい社員にスキルアップを促したい
正社員化コース（キャリアアップ助成金）,公募中,https://www.writeup-lab.jp/wp-content/uploads/2024/11/552c086eb919761344bc24451f8f5f6a.pdf,"半年以上在籍している有期雇用社員（アルバイト等）を正社員に転換した場合に80万円/名、無期契約社員を正社員に転換した場合に40万円/名。さらに、正社員転換制度を新たに導入した場合20万円の加算、多様な正社員制度を新たに導入し対象がいた場合40万円の加算です。最大20名まで申請が可能です。今雇用している方、これから雇用する方のいずれも対象になります。なお、転換する社員は半年以上３年未満の雇用実績がある方に限ります。※出典：キャリアアップ助成金のご案内　（https://www.mhlw.go.jp/content/11910500/001239299.pdf）",期間情報なし,120万円,従業員関連,１年以内に正社員またはアルバイトを１名以上雇用する可能性がある
出生時両立支援コース（両立支援等助成金）,公募中,https://www.writeup-lab.jp/wp-content/uploads/2024/11/2d1f38501c5917205263a5bd87af0451.pdf,"「育児休暇」に関する助成金です。男性社員が、育児休暇を連続５日間取得した場合に２０万円/社。家庭に子供が産まれてから８週間以内に休暇に入る必要があります。その後、国が指定するホームページで自社の育児休暇取得状況を公表すると、追加で２万円の追加受給が可能です。※出典： 両立支援助成金(出生時両立支援コース）（https://www.mhlw.go.jp/content/001082093.pdf）",期間情報なし,20万円,従業員関連,今後、ご家庭で子供が生まれる可能性がある従業員がいる
育児休業等支援コース（両立支援等助成金）,公募中,https://www.writeup-lab.jp/wp-content/uploads/2024/11/b7c19b5e366b9ec33ccbeeb4fb6339f1.pdf,"「育児休暇」に関する助成金です。女性社員が連続３ヵ月以上の育児休暇を取得・復帰をした場合に６０万円/名。正社員、バイト等のそれぞれ１名、合計２名分の受給が可能です。育休取得前に申請する必要があります。その後、国が指定するホームページで自社の育児休暇取得状況を公表すると、追加で２万円の追加受給が可能です。※出典： 両立支援助成金(育児休業等支援コース）（https://www.mhlw.go.jp/content/001082093.pdf）",期間情報なし,62万円,従業員関連,今後、ご家庭で子供が生まれる可能性がある従業員がいる
賞与・退職金制度コース（キャリアアップ助成金）,公募中,https://www.writeup-lab.jp/wp-content/uploads/2024/11/6a173e1ca6beb2a0b9efeaff44ee08b3.pdf,"非正規社員（アルバイト等）を対象に賞与又は退職金制度を導入し、支給または積立てを実施した場合に助成されます。※出典：キャリアアップ助成金（https://www.mhlw.go.jp/content/11910500/001239298.pdf）",期間情報なし,40万円,従業員関連,アルバイトの待遇改善・給与アップなど行い、できるだけ長く働いてもらいたい
賃金規定等共通化コース（キャリアアップ助成金）,公募中,https://www.writeup-lab.jp/wp-content/uploads/2024/11/bf45c0e206818bdb6e7a2f468659a588.pdf,"非正規社員（アルバイト等）の方々に向けた賃金改定を実現する助成金です。正社員と同じ時給水準の非正規社員がいる状態で賃金規定等を新たに作成し、適用した場合に助成されます。※出典：キャリアアップ助成金（https://www.mhlw.go.jp/content/11910500/001239298.pdf）",期間情報なし,60万円,従業員関連,アルバイトの待遇改善・給与アップなど行い、できるだけ長く働いてもらいたい